path,generator,label,label_name,filename
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/ai/GLIDE_1000_200_00_026_glide_00096.png,GLIDE,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n04008634_25774.JPEG,SD1.4,0,nature,n04008634_25774.JPEG
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/nature/n02093647_1643.JPEG,BigGAN,0,nature,n02093647_1643.JPEG
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/ai/873_biggan_00014.png,BigGAN,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/ai/399_biggan_00167.png,BigGAN,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/nature/n02422106_5204.JPEG,BigGAN,0,nature,n02422106_5204.JPEG
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/ai/GLIDE_1000_200_02_276_glide_00061.png,GLIDE,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/ai/588_sdv4_00132.png,SD1.4,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/ai/278_biggan_00159.png,BigGAN,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/nature/n12267677_25314.JPEG,Wukong,0,nature,n12267677_25314.JPEG
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/nature/n02319095_3625.JPEG,GLIDE,0,nature,n02319095_3625.JPEG
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-5/GenImage/stable_diffusion_v_1_5/train/ai/080_sdv5_00016.png,SD1.5,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/ai/273_biggan_00152.png,BigGAN,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-5/GenImage/stable_diffusion_v_1_5/train/ai/571_sdv5_00035.png,SD1.5,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n02692877_10687.JPEG,SD1.4,0,nature,n02692877_10687.JPEG
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/ai/991_wukong_image32.png,Wukong,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n02107574_3592.JPEG,SD1.4,0,nature,n02107574_3592.JPEG
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-5/GenImage/stable_diffusion_v_1_5/train/nature/n02480495_1025.JPEG,SD1.5,0,nature,n02480495_1025.JPEG
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-5/GenImage/stable_diffusion_v_1_5/train/ai/420_sdv5_00191.png,SD1.5,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n01860187_1163.JPEG,SD1.4,0,nature,n01860187_1163.JPEG
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/ai/621_wukong_image97.png,Wukong,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/nature/n04133789_596.JPEG,BigGAN,0,nature,n04133789_596.JPEG
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/ai/932_wukong_image39.png,Wukong,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/ai/GLIDE_1000_200_06_654_glide_00086.png,GLIDE,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n03372029_49664.JPEG,SD1.4,0,nature,n03372029_49664.JPEG
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/nature/n07860988_2501.JPEG,Wukong,0,nature,n07860988_2501.JPEG
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/ai/001_sdv4_00175.png,SD1.4,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-adm/GenImage/ADM/imagenet_ai_0508_adm/train/ai/218_adm_181.PNG,ADM,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/nature/n04153751_19982.JPEG,Wukong,0,nature,n04153751_19982.JPEG
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/ai/GLIDE_1000_200_00_047_glide_00131.png,GLIDE,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/nature/n02091635_3305.JPEG,GLIDE,0,nature,n02091635_3305.JPEG
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/ai/727_biggan_00052.png,BigGAN,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/nature/n02823750_2256.JPEG,GLIDE,0,nature,n02823750_2256.JPEG
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/ai/726_wukong_image120.png,Wukong,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/nature/n02457408_31676.JPEG,GLIDE,0,nature,n02457408_31676.JPEG
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n01631663_2338.JPEG,SD1.4,0,nature,n01631663_2338.JPEG
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/nature/n01592084_4942.JPEG,BigGAN,0,nature,n01592084_4942.JPEG
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/ai/41_wukong_image156.png,Wukong,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/ai/666_sdv4_00096.png,SD1.4,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/ai/948_biggan_00061.png,BigGAN,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-glide/glide/imagenet_glide/train/nature/n01910747_993.JPEG,GLIDE,0,nature,n01910747_993.JPEG
/kaggle/input/datasets/vtphatt2/genimage-wukong/GenImage/wukong/train/ai/339_wukong_image189.png,Wukong,1,ai,
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n02091244_6188.JPEG,SD1.4,0,nature,n02091244_6188.JPEG
/kaggle/input/datasets/vtphatt2/genimage-stable-diffusion-v1-4/GenImage/stable_diffusion_v_1_4/train/nature/n02504458_3951.JPEG,SD1.4,0,nature,n02504458_3951.JPEG
/kaggle/input/datasets/vtphatt2/genimage-biggan/BigGAN/imagenet_ai_0419_biggan/train/nature/n02510455_530.JPEG,BigGAN,0,nature,n02510455_530.JPEG
